,county,living,min,poverty,state
944,Marion County,10.33,7.25,5,Kansas
945,Marshall County,10.41,7.25,5,Kansas
946,McPherson County,10.66,7.25,5,Kansas
947,Meade County,10.33,7.25,5,Kansas
948,Miami County,11.06,7.25,5,Kansas
949,Mitchell County,10.33,7.25,5,Kansas
950,Montgomery County,10.41,7.25,5,Kansas
951,Morris County,10.33,7.25,5,Kansas
952,Morton County,10.33,7.25,5,Kansas
953,Nemaha County,10.33,7.25,5,Kansas
954,Neosho County,10.33,7.25,5,Kansas
955,Ness County,10.33,7.25,5,Kansas
956,Norton County,10.33,7.25,5,Kansas
957,Osage County,10.23,7.25,5,Kansas
958,Osborne County,10.33,7.25,5,Kansas
959,Ottawa County,10.35,7.25,5,Kansas
960,Pawnee County,10.33,7.25,5,Kansas
961,Phillips County,10.33,7.25,5,Kansas
962,Pottawatomie County,11.18,7.25,5,Kansas
963,Pratt County,10.62,7.25,5,Kansas
964,Rawlins County,10.33,7.25,5,Kansas
965,Reno County,10.27,7.25,5,Kansas
966,Republic County,10.33,7.25,5,Kansas
967,Rice County,10.33,7.25,5,Kansas
968,Riley County,11.18,7.25,5,Kansas
969,Rooks County,10.33,7.25,5,Kansas
970,Rush County,10.33,7.25,5,Kansas
971,Russell County,10.34,7.25,5,Kansas
972,Saline County,10.6,7.25,5,Kansas
973,Scott County,10.35,7.25,5,Kansas
974,Sedgwick County,10.25,7.25,5,Kansas
975,Seward County,10.59,7.25,5,Kansas
976,Shawnee County,10.23,7.25,5,Kansas
977,Sheridan County,10.33,7.25,5,Kansas
978,Sherman County,10.7,7.25,5,Kansas
979,Smith County,10.33,7.25,5,Kansas
980,Stafford County,10.33,7.25,5,Kansas
981,Stanton County,10.33,7.25,5,Kansas
982,Stevens County,10.79,7.25,5,Kansas
983,Sumner County,9.9,7.25,5,Kansas
984,Thomas County,10.33,7.25,5,Kansas
985,Trego County,10.33,7.25,5,Kansas
986,Wabaunsee County,10.23,7.25,5,Kansas
987,Wallace County,10.33,7.25,5,Kansas
988,Washington County,10.33,7.25,5,Kansas
989,Wichita County,10.33,7.25,5,Kansas
990,Wilson County,10.33,7.25,5,Kansas
991,Woodson County,10.34,7.25,5,Kansas
992,Wyandotte County,11.06,7.25,5,Kansas
993,Adair County,9.68,7.25,5,Kentucky
994,Allen County,10,7.25,5,Kentucky
995,Anderson County,11.14,7.25,5,Kentucky
996,Ballard County,10.1,7.25,5,Kentucky
997,Barren County,9.78,7.25,5,Kentucky
998,Bath County,10.11,7.25,5,Kentucky
999,Bell County,10.01,7.25,5,Kentucky
1000,Boone County,10.56,7.25,5,Kentucky
1001,Bourbon County,10.57,7.25,5,Kentucky
1002,Boyd County,10.15,7.25,5,Kentucky
1003,Boyle County,10.41,7.25,5,Kentucky
1004,Bracken County,10.56,7.25,5,Kentucky
1005,Breathitt County,10.03,7.25,5,Kentucky
1006,Breckinridge County,10.03,7.25,5,Kentucky
1007,Bullitt County,10.72,7.25,5,Kentucky
1008,Butler County,10,7.25,5,Kentucky
1009,Caldwell County,10.03,7.25,5,Kentucky
1010,Calloway County,10.01,7.25,5,Kentucky
1011,Campbell County,10.56,7.25,5,Kentucky
1012,Carlisle County,10.25,7.25,5,Kentucky
1013,Carroll County,10.43,7.25,5,Kentucky
1014,Carter County,10.03,7.25,5,Kentucky
1015,Casey County,10.03,7.25,5,Kentucky
1016,Christian County,10.3,7.25,5,Kentucky
1017,Clark County,10.57,7.25,5,Kentucky
1018,Clay County,10.03,7.25,5,Kentucky
1019,Clinton County,10.03,7.25,5,Kentucky
1020,Crittenden County,10.03,7.25,5,Kentucky
1021,Cumberland County,10.03,7.25,5,Kentucky
1022,Daviess County,10.45,7.25,5,Kentucky
1023,Edmonson County,10.48,7.25,5,Kentucky
1024,Elliott County,10.03,7.25,5,Kentucky
1025,Estill County,10.03,7.25,5,Kentucky
1026,Fayette County,10.57,7.25,5,Kentucky
1027,Fleming County,10.03,7.25,5,Kentucky
1028,Floyd County,10.03,7.25,5,Kentucky
1029,Franklin County,10.72,7.25,5,Kentucky
1030,Fulton County,10.03,7.25,5,Kentucky
1031,Gallatin County,10.56,7.25,5,Kentucky
1032,Garrard County,10.22,7.25,5,Kentucky
1033,Grant County,10.28,7.25,5,Kentucky
1034,Graves County,10.03,7.25,5,Kentucky
1035,Grayson County,10.03,7.25,5,Kentucky
1036,Green County,10.03,7.25,5,Kentucky
1037,Greenup County,10.15,7.25,5,Kentucky
1038,Hancock County,10.45,7.25,5,Kentucky
1039,Hardin County,10.58,7.25,5,Kentucky
1040,Harlan County,10.26,7.25,5,Kentucky
1041,Harrison County,9.68,7.25,5,Kentucky
1042,Hart County,10.45,7.25,5,Kentucky
1043,Henderson County,10.82,7.25,5,Kentucky
1044,Henry County,10.72,7.25,5,Kentucky
1045,Hickman County,10.03,7.25,5,Kentucky
1046,Hopkins County,10.16,7.25,5,Kentucky
1047,Jackson County,10.03,7.25,5,Kentucky
1048,Jefferson County,10.72,7.25,5,Kentucky
1049,Jessamine County,10.57,7.25,5,Kentucky
1050,Johnson County,10.03,7.25,5,Kentucky
1051,Kenton County,10.56,7.25,5,Kentucky
1052,Knott County,10.03,7.25,5,Kentucky
1053,Knox County,10.03,7.25,5,Kentucky
1054,Larue County,10.58,7.25,5,Kentucky
1055,Laurel County,10.03,7.25,5,Kentucky
1056,Lawrence County,10.03,7.25,5,Kentucky
1057,Lee County,10.03,7.25,5,Kentucky
1058,Leslie County,10.03,7.25,5,Kentucky
1059,Letcher County,10.14,7.25,5,Kentucky
1060,Lewis County,10.03,7.25,5,Kentucky
1061,Lincoln County,10.03,7.25,5,Kentucky
1062,Livingston County,10.03,7.25,5,Kentucky
1063,Logan County,10.43,7.25,5,Kentucky
1064,Lyon County,10.03,7.25,5,Kentucky
1065,Madison County,10.47,7.25,5,Kentucky
1066,Magoffin County,10.03,7.25,5,Kentucky
1067,Marion County,10.08,7.25,5,Kentucky
1068,Marshall County,10.32,7.25,5,Kentucky
1069,Martin County,10.03,7.25,5,Kentucky
1070,Mason County,10.13,7.25,5,Kentucky
1071,McCracken County,10.28,7.25,5,Kentucky
1072,McCreary County,10.03,7.25,5,Kentucky
1073,McLean County,10.45,7.25,5,Kentucky
1074,Meade County,10.26,7.25,5,Kentucky
1075,Menifee County,10.03,7.25,5,Kentucky
1076,Mercer County,10.16,7.25,5,Kentucky
1077,Metcalfe County,10.03,7.25,5,Kentucky
1078,Monroe County,10.03,7.25,5,Kentucky
1079,Montgomery County,10.36,7.25,5,Kentucky
1080,Morgan County,10.46,7.25,5,Kentucky
1081,Muhlenberg County,10.03,7.25,5,Kentucky
1082,Nelson County,10.41,7.25,5,Kentucky
1083,Nicholas County,10.03,7.25,5,Kentucky
1084,Ohio County,10.03,7.25,5,Kentucky
1085,Oldham County,10.72,7.25,5,Kentucky
1086,Owen County,10.13,7.25,5,Kentucky
1087,Owsley County,10.03,7.25,5,Kentucky
1088,Pendleton County,10.56,7.25,5,Kentucky
1089,Perry County,10.03,7.25,5,Kentucky
1090,Pike County,10.11,7.25,5,Kentucky
1091,Powell County,10.03,7.25,5,Kentucky
1092,Pulaski County,10.06,7.25,5,Kentucky
1093,Robertson County,10.26,7.25,5,Kentucky
1094,Rockcastle County,10.19,7.25,5,Kentucky
1095,Rowan County,10.56,7.25,5,Kentucky
1096,Russell County,10.11,7.25,5,Kentucky
1097,Scott County,10.57,7.25,5,Kentucky
1098,Shelby County,10.47,7.25,5,Kentucky
1099,Simpson County,10.37,7.25,5,Kentucky
1100,Spencer County,10.72,7.25,5,Kentucky
1101,Taylor County,10.03,7.25,5,Kentucky
1102,Todd County,10.13,7.25,5,Kentucky
1103,Trigg County,10.3,7.25,5,Kentucky
1104,Trimble County,10.72,7.25,5,Kentucky
1105,Union County,10.46,7.25,5,Kentucky
1106,Warren County,10.48,7.25,5,Kentucky
1107,Washington County,10.13,7.25,5,Kentucky
1108,Wayne County,10.03,7.25,5,Kentucky
1109,Webster County,10.03,7.25,5,Kentucky
1110,Whitley County,10.13,7.25,5,Kentucky
1111,Wolfe County,10.11,7.25,5,Kentucky
1112,Woodford County,10.57,7.25,5,Kentucky
1113,Acadia Parish,9.62,7.25,5,Louisiana
1114,Allen Parish,10.2,7.25,5,Louisiana
1115,Ascension Parish,10.89,7.25,5,Louisiana
1116,Assumption Parish,10.13,7.25,5,Louisiana
1117,Avoyelles Parish,9.46,7.25,5,Louisiana
1118,Beauregard Parish,10.2,7.25,5,Louisiana
1119,Bienville Parish,10.2,7.25,5,Louisiana
1120,Bossier Parish,10.98,7.25,5,Louisiana
1121,Caddo Parish,10.98,7.25,5,Louisiana
1122,Calcasieu Parish,10.2,7.25,5,Louisiana
1123,Caldwell Parish,10.2,7.25,5,Louisiana
1124,Cameron Parish,10.2,7.25,5,Louisiana
1125,Catahoula Parish,10.2,7.25,5,Louisiana
1126,Claiborne Parish,9.88,7.25,5,Louisiana
1127,Concordia Parish,9.88,7.25,5,Louisiana
1128,De Soto Parish,10.98,7.25,5,Louisiana
1129,East Baton Rouge Parish,10.89,7.25,5,Louisiana
1130,East Carroll Parish,9.96,7.25,5,Louisiana
1131,East Feliciana Parish,10.89,7.25,5,Louisiana
1132,Evangeline Parish,9.88,7.25,5,Louisiana
1133,Franklin Parish,9.88,7.25,5,Louisiana
1134,Grant Parish,10.83,7.25,5,Louisiana
1135,Iberia Parish,10.31,7.25,5,Louisiana
1136,Iberville Parish,10.02,7.25,5,Louisiana
1137,Jackson Parish,9.88,7.25,5,Louisiana
1138,Jefferson Davis Parish,10.2,7.25,5,Louisiana
1139,Jefferson Parish,11.4,7.25,5,Louisiana
1140,Lafayette Parish,10.79,7.25,5,Louisiana
1141,Lafourche Parish,11.27,7.25,5,Louisiana
1142,La Salle Parish,9.92,7.25,5,Louisiana
1143,Lincoln Parish,10.69,7.25,5,Louisiana
1144,Livingston Parish,10.89,7.25,5,Louisiana
1145,Madison Parish,9.88,7.25,5,Louisiana
1146,Morehouse Parish,10.2,7.25,5,Louisiana
1147,Natchitoches Parish,10.25,7.25,5,Louisiana
1148,Orleans Parish,11.4,7.25,5,Louisiana
1149,Ouachita Parish,11.01,7.25,5,Louisiana
1150,Plaquemines Parish,11.4,7.25,5,Louisiana
1151,Pointe Coupee Parish,10.89,7.25,5,Louisiana
1152,Rapides Parish,10.83,7.25,5,Louisiana
1153,Red River Parish,10.34,7.25,5,Louisiana
1154,Richland Parish,9.88,7.25,5,Louisiana
1155,Sabine Parish,10.14,7.25,5,Louisiana
1156,St. Bernard Parish,11.4,7.25,5,Louisiana
1157,St. Charles Parish,11.4,7.25,5,Louisiana
1158,St. Helena Parish,10.89,7.25,5,Louisiana
1159,St. James Parish,9.73,7.25,5,Louisiana
1160,St. John the Baptist Parish,11.4,7.25,5,Louisiana
1161,St. Landry Parish,9.54,7.25,5,Louisiana
1162,St. Martin Parish,10.79,7.25,5,Louisiana
1163,St. Mary Parish,10.32,7.25,5,Louisiana
1164,St. Tammany Parish,11.4,7.25,5,Louisiana
1165,Tangipahoa Parish,10.9,7.25,5,Louisiana
1166,Tensas Parish,9.88,7.25,5,Louisiana
1167,Terrebonne Parish,11.27,7.25,5,Louisiana
1168,Union Parish,11.01,7.25,5,Louisiana
1169,Vermilion Parish,9.79,7.25,5,Louisiana
1170,Vernon Parish,10.77,7.25,5,Louisiana
1171,Washington Parish,9.9,7.25,5,Louisiana
1172,Webster Parish,9.78,7.25,5,Louisiana
1173,West Baton Rouge Parish,10.89,7.25,5,Louisiana
1174,West Carroll Parish,9.88,7.25,5,Louisiana
1175,West Feliciana Parish,10.89,7.25,5,Louisiana
1176,Winn Parish,10.2,7.25,5,Louisiana
1177,Androscoggin County,11.02,10,5,Maine
1178,Aroostook County,10.69,10,5,Maine
1179,Cumberland County,12.61,10,5,Maine
1180,Franklin County,10.77,10,5,Maine
1181,Hancock County,11.33,10,5,Maine
1182,Kennebec County,11.5,10,5,Maine
1183,Knox County,11.57,10,5,Maine
1184,Lincoln County,11.87,10,5,Maine
1185,Oxford County,10.96,10,5,Maine
1186,Penobscot County,10.83,10,5,Maine
1187,Piscataquis County,10.75,10,5,Maine
1188,Sagadahoc County,11.06,10,5,Maine
1189,Somerset County,10.99,10,5,Maine
1190,Waldo County,11.25,10,5,Maine
1191,Washington County,10.96,10,5,Maine
1192,York County,11.67,10,5,Maine
1193,Allegany County,10.71,9.25,5,Maryland
1194,Anne Arundel County,13.28,9.25,5,Maryland
1195,Baltimore city,13.28,9.25,5,Maryland
1196,Baltimore County,13.28,9.25,5,Maryland
1197,Calvert County,16.81,9.25,5,Maryland
1198,Caroline County,11.96,9.25,5,Maryland
1199,Carroll County,13.28,9.25,5,Maryland
1200,Cecil County,12.9,9.25,5,Maryland
1201,Charles County,16.81,9.25,5,Maryland
1202,Dorchester County,12.36,9.25,5,Maryland
1203,Frederick County,16.81,9.25,5,Maryland
1204,Garrett County,10.51,9.25,5,Maryland
1205,Harford County,13.28,9.25,5,Maryland
1206,Howard County,13.28,9.25,5,Maryland
1207,Kent County,12.87,9.25,5,Maryland
1208,Montgomery County,16.81,9.25,5,Maryland
1209,Prince George's County,16.81,9.25,5,Maryland
1210,Queen Anne's County,13.28,9.25,5,Maryland
1211,Somerset County,10.61,9.25,5,Maryland
1212,St. Mary's County,13.18,9.25,5,Maryland
1213,Talbot County,13.23,9.25,5,Maryland
1214,Washington County,10.97,9.25,5,Maryland
1215,Wicomico County,11.55,9.25,5,Maryland
1216,Worcester County,11.72,9.25,5,Maryland
1217,Barnstable County,12.36,11,5,Massachusetts
1218,Berkshire County,11.33,11,5,Massachusetts
1219,Bristol County,11.75,11,5,Massachusetts
1220,Dukes County,12.96,11,5,Massachusetts
1221,Essex County,14.07,11,5,Massachusetts
1222,Franklin County,11.35,11,5,Massachusetts
1223,Hampden County,11.41,11,5,Massachusetts
1224,Hampshire County,11.41,11,5,Massachusetts
1225,Middlesex County,14.21,11,5,Massachusetts
1226,Nantucket County,13.23,11,5,Massachusetts
1227,Norfolk County,14.57,11,5,Massachusetts
1228,Plymouth County,13.4,11,5,Massachusetts
1229,Suffolk County,14.65,11,5,Massachusetts
1230,Worcester County,11.64,11,5,Massachusetts
1231,Alcona County,10.32,9.25,5,Michigan
1232,Alger County,10.32,9.25,5,Michigan
1233,Allegan County,11,9.25,5,Michigan
1234,Alpena County,10.32,9.25,5,Michigan
1235,Antrim County,10.07,9.25,5,Michigan
1236,Arenac County,10.32,9.25,5,Michigan
1237,Baraga County,10.32,9.25,5,Michigan
1238,Barry County,10.4,9.25,5,Michigan
1239,Bay County,10.18,9.25,5,Michigan
1240,Benzie County,10.71,9.25,5,Michigan
1241,Berrien County,10.13,9.25,5,Michigan
1242,Branch County,10.83,9.25,5,Michigan
1243,Calhoun County,10.53,9.25,5,Michigan
1244,Cass County,10.78,9.25,5,Michigan
1245,Charlevoix County,10.98,9.25,5,Michigan
1246,Cheboygan County,10.32,9.25,5,Michigan
1247,Chippewa County,10.29,9.25,5,Michigan
1248,Clare County,10.32,9.25,5,Michigan
1249,Clinton County,10.65,9.25,5,Michigan
1250,Crawford County,10.58,9.25,5,Michigan
1251,Delta County,10.32,9.25,5,Michigan
1252,Dickinson County,10.61,9.25,5,Michigan
1253,Eaton County,10.65,9.25,5,Michigan
1254,Emmet County,10.58,9.25,5,Michigan
1255,Genesee County,10.23,9.25,5,Michigan
1256,Gladwin County,10.32,9.25,5,Michigan
1257,Gogebic County,10.32,9.25,5,Michigan
1258,Grand Traverse County,11.24,9.25,5,Michigan
1259,Gratiot County,9.99,9.25,5,Michigan
1260,Hillsdale County,10.43,9.25,5,Michigan
1261,Houghton County,10.06,9.25,5,Michigan
1262,Huron County,10.74,9.25,5,Michigan
1263,Ingham County,10.65,9.25,5,Michigan
1264,Ionia County,10.78,9.25,5,Michigan
1265,Iosco County,9.99,9.25,5,Michigan
1266,Iron County,10.35,9.25,5,Michigan
1267,Isabella County,10.48,9.25,5,Michigan
1268,Jackson County,10.38,9.25,5,Michigan
1269,Kalamazoo County,10.53,9.25,5,Michigan
1270,Kalkaska County,10.18,9.25,5,Michigan
1271,Kent County,10.76,9.25,5,Michigan
1272,Keweenaw County,10.32,9.25,5,Michigan
1273,Lake County,10.32,9.25,5,Michigan
1274,Lapeer County,10.95,9.25,5,Michigan
1275,Leelanau County,10.97,9.25,5,Michigan
1276,Lenawee County,10.89,9.25,5,Michigan
1277,Livingston County,11.27,9.25,5,Michigan
1278,Luce County,10.32,9.25,5,Michigan
1279,Mackinac County,10.32,9.25,5,Michigan
1280,Macomb County,10.95,9.25,5,Michigan
1281,Manistee County,10.32,9.25,5,Michigan
1282,Marquette County,10.13,9.25,5,Michigan
1283,Mason County,10.53,9.25,5,Michigan
1284,Mecosta County,10.32,9.25,5,Michigan
1285,Menominee County,10.32,9.25,5,Michigan
1286,Midland County,10.33,9.25,5,Michigan
1287,Missaukee County,10.4,9.25,5,Michigan
1288,Monroe County,10.64,9.25,5,Michigan
1289,Montcalm County,10.2,9.25,5,Michigan
1290,Montmorency County,10.4,9.25,5,Michigan
1291,Muskegon County,10.46,9.25,5,Michigan
1292,Newaygo County,10.48,9.25,5,Michigan
1293,Oakland County,10.95,9.25,5,Michigan
1294,Oceana County,10.33,9.25,5,Michigan
1295,Ogemaw County,10.32,9.25,5,Michigan
1296,Ontonagon County,10.32,9.25,5,Michigan
1297,Osceola County,10.32,9.25,5,Michigan
1298,Oscoda County,10.32,9.25,5,Michigan
1299,Otsego County,10.55,9.25,5,Michigan
1300,Ottawa County,10.61,9.25,5,Michigan
1301,Presque Isle County,10.32,9.25,5,Michigan
1302,Roscommon County,10.53,9.25,5,Michigan
1303,Saginaw County,10.3,9.25,5,Michigan
1304,Sanilac County,10.13,9.25,5,Michigan
1305,Schoolcraft County,10.32,9.25,5,Michigan
1306,Shiawassee County,10.92,9.25,5,Michigan
1307,St. Clair County,10.95,9.25,5,Michigan
1308,St. Joseph County,10.4,9.25,5,Michigan
1309,Tuscola County,9.99,9.25,5,Michigan
1310,Van Buren County,10.53,9.25,5,Michigan
1311,Washtenaw County,12.39,9.25,5,Michigan
1312,Wayne County,10.95,9.25,5,Michigan
1313,Wexford County,10.33,9.25,5,Michigan
1314,Aitkin County,10.83,9.65,5,Minnesota
1315,Anoka County,11.96,9.65,5,Minnesota
1316,Becker County,10.21,9.65,5,Minnesota
1317,Beltrami County,10.4,9.65,5,Minnesota
1318,Benton County,10.55,9.65,5,Minnesota
1319,Big Stone County,10.23,9.65,5,Minnesota
1320,Blue Earth County,11.37,9.65,5,Minnesota
1321,Brown County,10.2,9.65,5,Minnesota
1322,Carlton County,10.78,9.65,5,Minnesota
1323,Carver County,11.96,9.65,5,Minnesota
1324,Cass County,10.93,9.65,5,Minnesota
1325,Chippewa County,10.23,9.65,5,Minnesota
1326,Chisago County,11.96,9.65,5,Minnesota
1327,Clay County,10.59,9.65,5,Minnesota
1328,Clearwater County,10.23,9.65,5,Minnesota
1329,Cook County,10.56,9.65,5,Minnesota
1330,Cottonwood County,10.23,9.65,5,Minnesota
1331,Crow Wing County,10.65,9.65,5,Minnesota
1332,Dakota County,11.96,9.65,5,Minnesota
1333,Dodge County,11.37,9.65,5,Minnesota
1334,Douglas County,10.47,9.65,5,Minnesota
1335,Faribault County,10.23,9.65,5,Minnesota
1336,Fillmore County,10.2,9.65,5,Minnesota
1337,Freeborn County,10.2,9.65,5,Minnesota
1338,Goodhue County,10.8,9.65,5,Minnesota
1339,Grant County,10.23,9.65,5,Minnesota
1340,Hennepin County,11.96,9.65,5,Minnesota
1341,Houston County,10.75,9.65,5,Minnesota
1342,Hubbard County,10.23,9.65,5,Minnesota
1343,Isanti County,11.96,9.65,5,Minnesota
1344,Itasca County,10.48,9.65,5,Minnesota
1345,Jackson County,10.23,9.65,5,Minnesota
1346,Kanabec County,10.51,9.65,5,Minnesota
1347,Kandiyohi County,10.28,9.65,5,Minnesota
1348,Kittson County,10.23,9.65,5,Minnesota
1349,Koochiching County,10.23,9.65,5,Minnesota
1350,Lac qui Parle County,10.23,9.65,5,Minnesota
1351,Lake County,10.42,9.65,5,Minnesota
1352,Lake of the Woods County,10.23,9.65,5,Minnesota
1353,Le Sueur County,10.47,9.65,5,Minnesota
1354,Lincoln County,10.23,9.65,5,Minnesota
1355,Lyon County,10.48,9.65,5,Minnesota
1356,Mahnomen County,10.23,9.65,5,Minnesota
1357,Marshall County,10.23,9.65,5,Minnesota
1358,Martin County,10.23,9.65,5,Minnesota
1359,McLeod County,10.23,9.65,5,Minnesota
1360,Meeker County,10.46,9.65,5,Minnesota
1361,Mille Lacs County,10.88,9.65,5,Minnesota
1362,Morrison County,10.23,9.65,5,Minnesota
1363,Mower County,10.52,9.65,5,Minnesota
1364,Murray County,10.23,9.65,5,Minnesota
1365,Nicollet County,11.37,9.65,5,Minnesota
1366,Nobles County,10.71,9.65,5,Minnesota
1367,Norman County,10.23,9.65,5,Minnesota
1368,Olmsted County,11.37,9.65,5,Minnesota
1369,Otter Tail County,10.71,9.65,5,Minnesota
1370,Pennington County,10.29,9.65,5,Minnesota
1371,Pine County,10.67,9.65,5,Minnesota
1372,Pipestone County,10.23,9.65,5,Minnesota
1373,Polk County,10.92,9.65,5,Minnesota
1374,Pope County,10.34,9.65,5,Minnesota
1375,Ramsey County,11.96,9.65,5,Minnesota
1376,Red Lake County,10.94,9.65,5,Minnesota
1377,Redwood County,10.23,9.65,5,Minnesota
1378,Renville County,10.72,9.65,5,Minnesota
1379,Rice County,11.07,9.65,5,Minnesota
1380,Rock County,10.23,9.65,5,Minnesota
1381,Roseau County,10.23,9.65,5,Minnesota
1382,Scott County,11.96,9.65,5,Minnesota
1383,Sherburne County,11.96,9.65,5,Minnesota
1384,Sibley County,10.3,9.65,5,Minnesota
1385,Stearns County,10.55,9.65,5,Minnesota
1386,Steele County,10.61,9.65,5,Minnesota
1387,Stevens County,10.23,9.65,5,Minnesota
1388,St. Louis County,10.78,9.65,5,Minnesota
1389,Swift County,10.71,9.65,5,Minnesota
1390,Todd County,10.23,9.65,5,Minnesota
1391,Traverse County,10.23,9.65,5,Minnesota
1392,Wabasha County,10.57,9.65,5,Minnesota
1393,Wadena County,10.23,9.65,5,Minnesota
1394,Waseca County,10.23,9.65,5,Minnesota
1395,Washington County,11.96,9.65,5,Minnesota
1396,Watonwan County,10.23,9.65,5,Minnesota
1397,Wilkin County,10.23,9.65,5,Minnesota
1398,Winona County,10.34,9.65,5,Minnesota
1399,Wright County,11.96,9.65,5,Minnesota
1400,Yellow Medicine County,10.23,9.65,5,Minnesota
1401,Adams County,10.68,7.25,5,Mississippi
1402,Alcorn County,10.25,7.25,5,Mississippi
1403,Amite County,10.48,7.25,5,Mississippi
1404,Attala County,10.25,7.25,5,Mississippi
1405,Benton County,10.51,7.25,5,Mississippi
1406,Bolivar County,10.72,7.25,5,Mississippi
1407,Calhoun County,10.25,7.25,5,Mississippi
1408,Carroll County,10.25,7.25,5,Mississippi
1409,Chickasaw County,9.96,7.25,5,Mississippi
1410,Choctaw County,10.25,7.25,5,Mississippi
1411,Claiborne County,10.39,7.25,5,Mississippi
1412,Clarke County,10.41,7.25,5,Mississippi
1413,Clay County,10.25,7.25,5,Mississippi
1414,Coahoma County,10.01,7.25,5,Mississippi
1415,Copiah County,11.04,7.25,5,Mississippi
1416,Covington County,10.25,7.25,5,Mississippi
1417,DeSoto County,11.27,7.25,5,Mississippi
1418,Forrest County,11.23,7.25,5,Mississippi
1419,Franklin County,10.25,7.25,5,Mississippi
1420,George County,10.68,7.25,5,Mississippi
1421,Greene County,10.82,7.25,5,Mississippi
1422,Grenada County,10.25,7.25,5,Mississippi
1423,Hancock County,11.34,7.25,5,Mississippi
1424,Harrison County,11.34,7.25,5,Mississippi
1425,Hinds County,11.04,7.25,5,Mississippi
1426,Holmes County,10.25,7.25,5,Mississippi
1427,Humphreys County,10.27,7.25,5,Mississippi
1428,Issaquena County,10.25,7.25,5,Mississippi
1429,Itawamba County,10.25,7.25,5,Mississippi
1430,Jackson County,11.41,7.25,5,Mississippi
1431,Jasper County,10.64,7.25,5,Mississippi
1432,Jefferson County,10.25,7.25,5,Mississippi
1433,Jefferson Davis County,10.52,7.25,5,Mississippi
1434,Jones County,10.49,7.25,5,Mississippi
1435,Kemper County,10.25,7.25,5,Mississippi
1436,Lafayette County,11.37,7.25,5,Mississippi
1437,Lamar County,11.23,7.25,5,Mississippi
1438,Lauderdale County,10.66,7.25,5,Mississippi
1439,Lawrence County,10.43,7.25,5,Mississippi
1440,Leake County,10.36,7.25,5,Mississippi
1441,Lee County,10.77,7.25,5,Mississippi
1442,Leflore County,10.47,7.25,5,Mississippi
1443,Lincoln County,10.26,7.25,5,Mississippi
1444,Lowndes County,10.25,7.25,5,Mississippi
1445,Madison County,11.04,7.25,5,Mississippi
1446,Marion County,10.25,7.25,5,Mississippi
1447,Marshall County,10.51,7.25,5,Mississippi
1448,Monroe County,10.25,7.25,5,Mississippi
1449,Montgomery County,10.25,7.25,5,Mississippi
1450,Neshoba County,10.26,7.25,5,Mississippi
1451,Newton County,10.26,7.25,5,Mississippi
1452,Noxubee County,10.25,7.25,5,Mississippi
1453,Oktibbeha County,10.73,7.25,5,Mississippi
1454,Panola County,10.25,7.25,5,Mississippi
1455,Pearl River County,10.93,7.25,5,Mississippi
1456,Perry County,11.23,7.25,5,Mississippi
1457,Pike County,10.58,7.25,5,Mississippi
1458,Pontotoc County,10.37,7.25,5,Mississippi
1459,Prentiss County,10.25,7.25,5,Mississippi
1460,Quitman County,9.96,7.25,5,Mississippi
1461,Rankin County,11.04,7.25,5,Mississippi
1462,Scott County,10.25,7.25,5,Mississippi
1463,Sharkey County,10.25,7.25,5,Mississippi
1464,Simpson County,10.41,7.25,5,Mississippi
1465,Smith County,9.99,7.25,5,Mississippi
1466,Stone County,10.45,7.25,5,Mississippi
1467,Sunflower County,10.11,7.25,5,Mississippi
1468,Tallahatchie County,10.18,7.25,5,Mississippi
1469,Tate County,10.79,7.25,5,Mississippi
1470,Tippah County,10.31,7.25,5,Mississippi
1471,Tishomingo County,10.25,7.25,5,Mississippi
1472,Tunica County,11,7.25,5,Mississippi
1473,Union County,10.25,7.25,5,Mississippi
1474,Walthall County,10.25,7.25,5,Mississippi
1475,Warren County,11.12,7.25,5,Mississippi
1476,Washington County,10.58,7.25,5,Mississippi
1477,Wayne County,9.96,7.25,5,Mississippi
1478,Webster County,10.25,7.25,5,Mississippi
1479,Wilkinson County,10.25,7.25,5,Mississippi
1480,Winston County,10.25,7.25,5,Mississippi
1481,Yalobusha County,10.25,7.25,5,Mississippi
1482,Yazoo County,10.47,7.25,5,Mississippi
1483,Adair County,10.11,7.85,5,Missouri
1484,Andrew County,10.33,7.85,5,Missouri
1485,Atchison County,9.84,7.85,5,Missouri
1486,Audrain County,10.08,7.85,5,Missouri
1487,Barry County,9.97,7.85,5,Missouri
1488,Barton County,9.71,7.85,5,Missouri
1489,Bates County,10.18,7.85,5,Missouri
1490,Benton County,9.95,7.85,5,Missouri
1491,Bollinger County,10.68,7.85,5,Missouri
1492,Boone County,10.64,7.85,5,Missouri
1493,Buchanan County,10.33,7.85,5,Missouri
1494,Butler County,9.99,7.85,5,Missouri
1495,Caldwell County,11.06,7.85,5,Missouri
1496,Callaway County,10.22,7.85,5,Missouri
1497,Camden County,10.02,7.85,5,Missouri
1498,Cape Girardeau County,10.68,7.85,5,Missouri
1499,Carroll County,9.84,7.85,5,Missouri
1500,Carter County,9.89,7.85,5,Missouri
1501,Cass County,11.06,7.85,5,Missouri
1502,Cedar County,9.88,7.85,5,Missouri
1503,Chariton County,9.84,7.85,5,Missouri
1504,Christian County,10.35,7.85,5,Missouri
